old_field;new_field
baumnummer;treenumber
baumnummer2;treenumber2
;sequencenumber
kunde;customer
auftraggeber;client
eigentuemer;owner
strasse;street
ort;location
grunflache;green_space
;land_use
;access
baumart;species
hoehe;height
;live_height
kdm;crown_diameter_1
kdm2;crown_diameter_2
kdm3;crown_diameter_3
kdm4;crown_diameter_4
stdm;trunk_diameter_1
;trunk_circumference_1
stdm2;trunk_diameter_2
;trunk_circumference_2
stdm3;trunk_diameter_3
;trunk_circumference_3
stdm4;trunk_diameter_4
;trunk_circumference_4
anzahlst;trunk_number
;trunk_inclination
;trunk_height
;year_planting
;age
;natural_monument
;habitat
;private
;boundary_tree
gift;toxic
bss;tree_protection_ordinance
;topiary
baumsch_art;tree_basin_type
baumsch_groesse;tree_basin_area
sia;ground_cover
;sia
bemerkung;comment
name_erf;name_surveyor
datum_erf;date_of_data_collection
gefaellt;removed
;temp
zustand;condition
vitalitaet;vitality
Kontrollen_zustand;condition
Kontrollen_vitalitaet;vitality
entwicklung;development
Kontrollen_sicherheit;safety_expectation
Kontrollen_verkehrssicherheit;tree_safety
Kontrollen_lebenserw;life_expectancy
;restriction
Kontrollen_schkr1;features_crown
Kontrollen_schkr2;features_crown
Kontrollen_schkr3;features_crown
Kontrollen_schkr4;features_crown
Kontrollen_schkr5;features_crown
Kontrollen_schkr6;features_crown
Kontrollen_schkr7;features_crown
Kontrollen_schkr8;features_crown
Kontrollen_schkr9;features_crown
Kontrollen_schkr10;features_crown
Kontrollen_schkr1_bem;comment_crown
Kontrollen_schkr2_bem;comment_crown
Kontrollen_schkr3_bem;comment_crown
Kontrollen_schkr4_bem;comment_crown
Kontrollen_schkr5_bem;comment_crown
Kontrollen_schkr6_bem;comment_crown
Kontrollen_schkr7_bem;comment_crown
Kontrollen_schkr8_bem;comment_crown
Kontrollen_schkr9_bem;comment_crown
Kontrollen_schkr10_bem;comment_crown
Kontrollen_schst1;features_trunk
Kontrollen_schst2;features_trunk
Kontrollen_schst3;features_trunk
Kontrollen_schst4;features_trunk
Kontrollen_schst5;features_trunk
Kontrollen_schst6;features_trunk
Kontrollen_schst7;features_trunk
Kontrollen_schst8;features_trunk
Kontrollen_schst9;features_trunk
Kontrollen_schst10;features_trunk
Kontrollen_schst1_bem;comment_trunk
Kontrollen_schst2_bem;comment_trunk
Kontrollen_schst3_bem;comment_trunk
Kontrollen_schst4_bem;comment_trunk
Kontrollen_schst5_bem;comment_trunk
Kontrollen_schst6_bem;comment_trunk
Kontrollen_schst7_bem;comment_trunk
Kontrollen_schst8_bem;comment_trunk
Kontrollen_schst9_bem;comment_trunk
Kontrollen_schst10_bem;comment_trunk
Kontrollen_schstf1;features_trunkbase_root_collar
Kontrollen_schstf2;features_trunkbase_root_collar
Kontrollen_schstf3;features_trunkbase_root_collar
Kontrollen_schstf4;features_trunkbase_root_collar
Kontrollen_schstf5;features_trunkbase_root_collar
Kontrollen_schstf6;features_trunkbase_root_collar
Kontrollen_schstf7;features_trunkbase_root_collar
Kontrollen_schstf8;features_trunkbase_root_collar
Kontrollen_schstf9;features_trunkbase_root_collar
Kontrollen_schstf10;features_trunkbase_root_collar
Kontrollen_schstf1_bem;comment_trunkbase_root_collar
Kontrollen_schstf2_bem;comment_trunkbase_root_collar
Kontrollen_schstf3_bem;comment_trunkbase_root_collar
Kontrollen_schstf4_bem;comment_trunkbase_root_collar
Kontrollen_schstf5_bem;comment_trunkbase_root_collar
Kontrollen_schstf6_bem;comment_trunkbase_root_collar
Kontrollen_schstf7_bem;comment_trunkbase_root_collar
Kontrollen_schstf8_bem;comment_trunkbase_root_collar
Kontrollen_schstf9_bem;comment_trunkbase_root_collar
Kontrollen_schstf10_bem;comment_trunkbase_root_collar
Kontrollen_schw1;features_root_surroundings
Kontrollen_schw1_bem;comment_root_surroundings
Kontrollen_schw2;features_root_surroundings
Kontrollen_schw2_bem;comment_root_surroundings
Kontrollen_schw3;features_root_surroundings
Kontrollen_schw3_bem;comment_root_surroundings
Kontrollen_umf1;features_root_surroundings
Kontrollen_umf1_bem;comment_root_surroundings
Kontrollen_umf2;features_root_surroundings
Kontrollen_umf2_bem;comment_root_surroundings
Kontrollen_umf3;features_root_surroundings
Kontrollen_umf3_bem;comment_root_surroundings
Kontrollen_umf4;features_root_surroundings
Kontrollen_umf4_bem;comment_root_surroundings
Kontrollen_umf5;features_root_surroundings
Kontrollen_umf5_bem;comment_root_surroundings
Kontrollen_intervall;interval
Kontrollen_name;name
Kontrollen_datum;date
Kontrollen_bemerkung;comment
Kontrollen_massnahme1;measures_1
Kontrollen_dringlichkeit1;measures_1_urgency
Kontrollen_pflege_bemerkung1;measures_1_comment
Kontrollen_art1;measures_1_comment
Kontrollen_umfang1;measures_1_comment
;measures_1_access
Kontrollen_genehm1;measures_1_approval
Kontrollen_pflege_datum1;measures_1_date
Kontrollen_pflege_name1;measures_1_name
;measures_1_complete_by
Kontrollen_kosten1;measures_1_costs
Kontrollen_zeit1;measures_1_time
Kontrollen_massnahme2;measures_2
Kontrollen_dringlichkeit2;measures_2_urgency
Kontrollen_pflege_bemerkung2;measures_2_comment
Kontrollen_art2;measures_2_comment
Kontrollen_umfang2;measures_2_comment
;measures_2_access
Kontrollen_genehm2;measures_2_approval
Kontrollen_pflege_datum2;measures_2_date
Kontrollen_pflege_name2;measures_2_name
;measures_2_complete_by
Kontrollen_kosten2;measures_2_costs
Kontrollen_zeit2;measures_2_time
Kontrollen_massnahme3;measures_3
Kontrollen_dringlichkeit3;measures_3_urgency
Kontrollen_pflege_bemerkung3;measures_3_comment
Kontrollen_art3;measures_3_comment
Kontrollen_umfang3;measures_3_comment
;measures_3_access
Kontrollen_genehm3;measures_3_approval
Kontrollen_pflege_datum3;measures_3_date
Kontrollen_pflege_name3;measures_3_name
;measures_3_complete_by
Kontrollen_kosten3;measures_3_costs
Kontrollen_zeit3;measures_3_time
Kontrollen_massnahme4;measures_4
Kontrollen_dringlichkeit4;measures_4_urgency
Kontrollen_pflege_bemerkung4;measures_4_comment
Kontrollen_art4;measures_4_comment
Kontrollen_umfang4;measures_4_comment
;measures_4_access
Kontrollen_genehm4;measures_4_approval
Kontrollen_pflege_datum4;measures_4_date
Kontrollen_pflege_name4;measures_4_name
;measures_4_complete_by
Kontrollen_kosten4;measures_4_costs
Kontrollen_zeit4;measures_4_time
Kontrollen_massnahme5;measures_5
Kontrollen_dringlichkeit5;measures_5_urgency
Kontrollen_pflege_bemerkung5;measures_5_comment
Kontrollen_art5;measures_5_comment
Kontrollen_umfang5;measures_5_comment
;measures_5_access
Kontrollen_genehm5;measures_5_approval
Kontrollen_pflege_datum5;measures_5_date
Kontrollen_pflege_name5;measures_5_name
;measures_5_complete_by
Kontrollen_kosten5;measures_5_costs
Kontrollen_zeit5;measures_5_time
struktur_krone1;habitat_structure_canopy
struktur_krone2;habitat_structure_canopy
struktur_krone3;habitat_structure_canopy
struktur_krone4;habitat_structure_canopy
struktur_krone5;habitat_structure_canopy
struktur_krone6;habitat_structure_canopy
struktur_krone7;habitat_structure_canopy
struktur_krone8;habitat_structure_canopy
art_krone1;habitat_species_canopy
art_krone2;habitat_species_canopy
art_krone3;habitat_species_canopy
art_krone4;habitat_species_canopy
art_krone5;habitat_species_canopy
art_krone6;habitat_species_canopy
art_krone7;habitat_species_canopy
art_krone8;habitat_species_canopy
bemerkung_krone1;habitat_comment_canopy
bemerkung_krone2;habitat_comment_canopy
bemerkung_krone3;habitat_comment_canopy
bemerkung_krone4;habitat_comment_canopy
bemerkung_krone5;habitat_comment_canopy
bemerkung_krone6;habitat_comment_canopy
bemerkung_krone7;habitat_comment_canopy
bemerkung_krone8;habitat_comment_canopy
struktur_stamm1;habitat_structure_trunk
struktur_stamm2;habitat_structure_trunk
struktur_stamm3;habitat_structure_trunk
struktur_stamm4;habitat_structure_trunk
struktur_stamm5;habitat_structure_trunk
struktur_stamm6;habitat_structure_trunk
struktur_stamm7;habitat_structure_trunk
struktur_stamm8;habitat_structure_trunk
art_stamm1;habitat_species_trunk
art_stamm2;habitat_species_trunk
art_stamm3;habitat_species_trunk
art_stamm4;habitat_species_trunk
art_stamm5;habitat_species_trunk
art_stamm6;habitat_species_trunk
art_stamm7;habitat_species_trunk
art_stamm8;habitat_species_trunk
bemerkung_stamm1;habitat_comment_trunk
bemerkung_stamm2;habitat_comment_trunk
bemerkung_stamm3;habitat_comment_trunk
bemerkung_stamm4;habitat_comment_trunk
bemerkung_stamm5;habitat_comment_trunk
bemerkung_stamm6;habitat_comment_trunk
bemerkung_stamm7;habitat_comment_trunk
bemerkung_stamm8;habitat_comment_trunk
betroffen;habitat_affected
vermeidung;habitat_avoidance
minderung;habitat_mitigation
ersatz;habitat_replacement
name;
erstellung;
aenderung;
datum;date_change
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
aenderung;date_change
